date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:05	20863/20863	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20May%202018%2013:22:06%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-20/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-20/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/author/admin/)
18:52:06	20867/20867	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20May%202018%2013:22:09%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-18/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-18/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/author/admin/)
18:52:07	2641/2641	---MCZ	200	added ('OK')	application/json	date:Sun,%2020%20May%202018%2013:22:09%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpaul-themes.com%2Fwp%2Fjonny%2Fjonny-demo%2F2017%2F02%2F14%2Fbranding-do-you-know-who-you-are-14%2F	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/wp-json/oembed/1.0/embedb3bb.json	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-14/)
18:52:07	877/877	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2212e0fd5b69fb6d6d55daaf288d0618d6%22	http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-14/feed/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-14/feed/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-14/)
18:52:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20May%202018%2013:22:10%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/?p=1029	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/indexd589.html	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-14/)
18:52:08	60951/60951	---M--	200	added ('OK')	image/jpeg	etag:%225a6b1c04-ee17%22	http://paul-themes.com/wp/jonny/jonny-demo/wp-content/uploads/2017/02/4-324x216.jpg	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/wp-content/uploads/2017/02/4-324x216.jpg	(from http://paul-themes.com/wp/jonny/jonny-demo/author/admin/)
18:52:08	2755/2755	---MCZ	200	added ('OK')	text/xml	date:Sun,%2020%20May%202018%2013:22:11%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpaul-themes.com%2Fwp%2Fjonny%2Fjonny-demo%2F2017%2F02%2F14%2Fbranding-do-you-know-who-you-are-14%2F&format=xml	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/wp-json/oembed/1.0/embed46d5	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-14/)
18:52:09	2641/2641	---MCZ	200	added ('OK')	application/json	date:Sun,%2020%20May%202018%2013:22:12%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpaul-themes.com%2Fwp%2Fjonny%2Fjonny-demo%2F2017%2F02%2F14%2Fbranding-do-you-know-who-you-are-13%2F	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/wp-json/oembed/1.0/embed0370.json	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-13/)
18:52:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20May%202018%2013:22:12%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/?p=1027	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/index1303.html	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-13/)
18:52:10	877/877	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2240c4f3f793ebcccdc088d58014aea3d3%22	http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-13/feed/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-13/feed/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-13/)
18:52:10	2755/2755	---MCZ	200	added ('OK')	text/xml	date:Sun,%2020%20May%202018%2013:22:13%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpaul-themes.com%2Fwp%2Fjonny%2Fjonny-demo%2F2017%2F02%2F14%2Fbranding-do-you-know-who-you-are-13%2F&format=xml	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/wp-json/oembed/1.0/embed8bfa	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-13/)
18:52:11	2653/2653	---MCZ	200	added ('OK')	application/json	date:Sun,%2020%20May%202018%2013:22:14%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpaul-themes.com%2Fwp%2Fjonny%2Fjonny-demo%2F2017%2F02%2F14%2Fbranding-do-you-know-who-you-are-12%2F	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/wp-json/oembed/1.0/embede914.json	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-12/)
18:52:11	877/877	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22605a7dee3dfd6bedbb815caf6db90fba%22	http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-12/feed/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-12/feed/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-12/)
18:52:11	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20May%202018%2013:22:14%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/?p=1025	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/index0c42.html	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-12/)
18:52:12	20869/20869	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20May%202018%2013:22:14%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-11/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-11/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-12/)
18:52:12	2767/2767	---MCZ	200	added ('OK')	text/xml	date:Sun,%2020%20May%202018%2013:22:15%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpaul-themes.com%2Fwp%2Fjonny%2Fjonny-demo%2F2017%2F02%2F14%2Fbranding-do-you-know-who-you-are-12%2F&format=xml	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/wp-json/oembed/1.0/embed088f	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-12/)
18:52:14	2695/2695	---MCZ	200	added ('OK')	application/json	date:Sun,%2020%20May%202018%2013:22:16%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpaul-themes.com%2Fwp%2Fjonny%2Fjonny-demo%2F2017%2F02%2F14%2Fbranding-do-you-know-who-you-are-16%2F	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/wp-json/oembed/1.0/embeda464.json	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-16/)
18:52:14	892/892	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%228d3cfedcb7ad9aa3447ba6e588f94767%22	http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-16/feed/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-16/feed/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-16/)
18:52:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20May%202018%2013:22:17%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/?p=1035	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/index7849.html	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-16/)
18:52:14	20867/20867	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20May%202018%2013:22:16%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-17/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-17/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-16/)
18:52:15	2815/2815	---MCZ	200	added ('OK')	text/xml	date:Sun,%2020%20May%202018%2013:22:17%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fpaul-themes.com%2Fwp%2Fjonny%2Fjonny-demo%2F2017%2F02%2F14%2Fbranding-do-you-know-who-you-are-16%2F&format=xml	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/wp-json/oembed/1.0/embed2810	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-16/)
18:52:18	13335/13335	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%2221c579427e53cc9aa445c378c4fb178a%22	http://paul-themes.com/wp/jonny/jonny-demo/tag/google/feed/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/tag/google/feed/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/tag/google/)
18:52:18	44145/44145	---M--	200	added ('OK')	image/jpeg	etag:%225a6b1c04-ac71%22	http://paul-themes.com/wp/jonny/jonny-demo/wp-content/uploads/2017/02/6-324x216.jpg	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/wp-content/uploads/2017/02/6-324x216.jpg	(from http://paul-themes.com/wp/jonny/jonny-demo/2017/02/14/branding-do-you-know-who-you-are-16/)
18:52:19	21350/21350	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20May%202018%2013:22:20%20GMT	http://paul-themes.com/wp/jonny/jonny-demo/2017/01/28/branding-do-you-know-who-you-are/	C:/Users/Tushar/Desktop/Extra/sahil%20jonny/paul-themes.com/wp/jonny/jonny-demo/2017/01/28/branding-do-you-know-who-you-are/index.html	(from http://paul-themes.com/wp/jonny/jonny-demo/tag/google/)
